CustomerID,CompanyName,Total_MRR,Total_Seats,Total_Logins,Total_ActiveUsers,Total_APICalls,Total_SessionMinutes,Ticket_Count,Avg_Satisfaction,Cluster,Segment,Retention_Recommendation
C1001,Ishaan Joshi Systems,278.6,6.0,148.0,72.0,10276.0,2241.4,4.0,6.5,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1002,Tara Sharma Technologies,246.76,4.0,217.0,134.0,15512.0,3021.1,4.0,7.0,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1003,Zoya Das Systems,278.6,6.0,187.0,116.0,19771.0,4734.2,3.0,3.0,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1004,Diya Joshi Labs,80.36,9.0,82.0,42.0,14012.0,2530.0,0.0,0.0,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1005,Tara Joshi Systems,618.76,4.0,133.0,61.0,13232.0,2102.0,3.0,6.0,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1006,Sanjay Reddy Labs,1618.92,2.0,86.0,51.0,8815.0,778.2,3.0,6.0,0,Support-Heavy Accounts,Investigate recurring support issues and provide targeted onboarding or product assistance to improve satisfaction.
C1007,Sai Das Technologies,658.68,5.0,117.0,64.0,25511.0,5778.9,2.0,8.5,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1008,Nikita Gupta Solutions,818.36,9.0,155.0,104.0,23906.0,2882.3,2.0,7.5,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1009,Rohan Patel Technologies,2098.6,6.0,220.0,116.0,10535.0,4973.4,4.0,5.75,0,Support-Heavy Accounts,Investigate recurring support issues and provide targeted onboarding or product assistance to improve satisfaction.
C1010,Tara Iyer Labs,278.6,6.0,81.0,33.0,4316.0,1004.6,6.0,5.333333333333333,3,Low-Engagement Accounts,"Use re-engagement campaigns, onboarding reminders and feature education to increase product usage."
C1011,Rohan Iyer Solutions,262.68,5.0,96.0,48.0,22182.0,5213.3,2.0,4.5,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1012,Meera Patel Labs,1978.68,5.0,14.0,7.0,6827.0,1715.3,1.0,5.0,0,Support-Heavy Accounts,Investigate recurring support issues and provide targeted onboarding or product assistance to improve satisfaction.
C1013,Farhan Das Industries,1931.28,11.0,0.0,0.0,71.0,242.1,1.0,6.0,0,Support-Heavy Accounts,Investigate recurring support issues and provide targeted onboarding or product assistance to improve satisfaction.
C1014,Rahul Patel Industries,68.6,6.0,37.0,22.0,9530.0,1674.5,2.0,6.0,3,Low-Engagement Accounts,"Use re-engagement campaigns, onboarding reminders and feature education to increase product usage."
C1015,Sanjay Gupta Industries,246.76,4.0,61.0,34.0,15818.0,3158.3,3.0,5.0,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1016,Diya Singh Industries,978.04,13.0,38.0,15.0,6672.0,1720.7,4.0,6.5,3,Low-Engagement Accounts,"Use re-engagement campaigns, onboarding reminders and feature education to increase product usage."
C1017,Rahul Reddy Solutions,60.76,4.0,24.0,13.0,2822.0,1829.2,3.0,4.0,3,Low-Engagement Accounts,"Use re-engagement campaigns, onboarding reminders and feature education to increase product usage."
C1018,Myra Khan Systems,2098.6,6.0,87.0,53.0,7947.0,2759.6,6.0,4.333333333333333,0,Support-Heavy Accounts,Investigate recurring support issues and provide targeted onboarding or product assistance to improve satisfaction.
C1019,Deepak Nair Labs,326.36,9.0,149.0,73.0,8711.0,2472.2999999999997,2.0,5.5,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1020,Saanvi Menon Group,68.6,6.0,55.0,33.0,4663.0,1145.0,5.0,5.8,3,Low-Engagement Accounts,"Use re-engagement campaigns, onboarding reminders and feature education to increase product usage."
C1021,Vivaan Singh Systems,76.44,8.0,264.0,148.0,22493.0,4930.3,4.0,4.75,2,High-Value Power Users,"Provide proactive account management, premium support and expansion opportunities to protect high-value revenue."
C1022,Rahul Singh Technologies,64.68,5.0,44.0,17.0,22354.0,3823.9,8.0,6.125,1,Active Growth Accounts,Encourage adoption of additional features and plans because strong usage indicates potential for account expansion.
C1023,Meera Menon Industries,778.44,8.0,14.0,4.0,7528.0,1362.1,5.0,5.8,3,Low-Engagement Accounts,"Use re-engagement campaigns, onboarding reminders and feature education to increase product usage."
C1024,Vivaan Verma Solutions,246.76,4.0,47.0,22.0,1144.0,770.4000000000001,2.0,5.5,3,Low-Engagement Accounts,"Use re-engagement campaigns, onboarding reminders and feature education to increase product usage."
